index,action,cost,probability,feature_arrival,feature_workload
1,6,485,0.1,0.05,0
2,5,-182,0.1,0.1,1000
3,1,4699,0.1,0.15,1000
4,2,-831,0.1,0.15,3000
5,6,-1030,0.1,0.2,2000
6,6,-1182,0.1,0.22,2000
7,3,-1492,0.1,0.22,2000
8,2,-1847,0.1,0.25,2000
9,9,-2056,0.1,0.38,2000
10,9,-2373,0.1,0.41,4000
11,10,-2572,0.1,0.42,4000
12,7,-3149,0.1,0.46,4000
13,7,-2702,0.1,0.39,5000
14,10,-3225,0.1,0.52,3000
15,2,78947,0.1,0.59,4000
16,1,65995,0.1,0.41,41000
17,3,35130,0.1,0.43,27000
18,8,65,0.1,0.39,12000
19,1,50139,0.1,0.36,5000
20,9,3775,0.1,0.26,20000
21,7,-385,0.1,0.15,1000
22,9,222,0.1,0.11,1000
23,8,219,0.1,0.1,2000
24,3,-284,0.1,0.08,0
25,6,497,0.1,0.05,0
26,1,-695,0.1,0.1,0
27,8,-70,0.1,0.15,1000
28,5,-490,0.1,0.15,1000
29,9,-442,0.1,0.2,1000
30,2,-1756,0.1,0.22,2000
31,2,-1626,0.1,0.22,2000
32,9,-1015,0.1,0.25,3000
33,2,40152,0.1,0.38,2000
34,2,57740,0.1,0.41,27000
35,10,3591,0.1,0.42,23000
36,7,-3158,0.1,0.46,6000
37,3,-2911,0.1,0.39,4000
38,8,-3512,0.1,0.52,4000
39,1,89145,0.1,0.59,4000
40,8,9025,0.1,0.41,39000
41,5,-2968,0.1,0.43,2000
42,7,-2576,0.1,0.39,3000
43,7,-2418,0.1,0.36,5000
44,5,-1751,0.1,0.26,4000
45,2,-1037,0.1,0.15,3000
46,3,-590,0.1,0.11,2000
47,8,200,0.1,0.1,0
48,2,-391,0.1,0.08,2000
49,6,436,0.1,0.05,0
50,4,-309,0.1,0.1,1000
51,4,-870,0.1,0.15,0
52,1,4220,0.1,0.15,1000
53,3,-1404,0.1,0.2,2000
54,3,-1540,0.1,0.22,3000
55,1,28270,0.1,0.22,1000
56,3,6168,0.1,0.25,14000
57,1,52411,0.1,0.38,3000
58,2,56945,0.1,0.41,24000
59,6,8186,0.1,0.42,28000
60,1,66390,0.1,0.46,3000
61,2,56987,0.1,0.39,32000
62,5,23190,0.1,0.52,26000
63,10,-4010,0.1,0.59,6000
64,7,-2742,0.1,0.41,8000
65,8,-2786,0.1,0.43,3000
66,6,-2655,0.1,0.39,7000
67,5,-2463,0.1,0.36,3000
68,4,-1670,0.1,0.26,3000
69,7,-387,0.1,0.15,1000
70,7,52,0.1,0.11,1000
71,10,494,0.1,0.1,1000
72,2,-444,0.1,0.08,1000
73,6,490,0.1,0.05,0
74,2,-540,0.1,0.1,0
75,9,-19,0.1,0.15,1000
76,7,-267,0.1,0.15,1000
77,8,-710,0.1,0.2,2000
78,5,-1162,0.1,0.22,1000
79,1,23233,0.1,0.22,2000
80,6,2479,0.1,0.25,18000
81,8,-2341,0.1,0.38,3000
82,8,-2445,0.1,0.41,5000
83,1,57442,0.1,0.42,3000
84,5,9659,0.1,0.46,30000
85,3,445,0.1,0.39,5000
86,2,68149,0.1,0.52,6000
87,1,91730,0.1,0.59,31000
88,6,13515,0.1,0.41,39000
89,5,-3360,0.1,0.43,4000
90,4,-2857,0.1,0.39,5000
91,4,-2656,0.1,0.36,3000
92,6,-1721,0.1,0.26,3000
93,4,-734,0.1,0.15,3000
94,3,-582,0.1,0.11,2000
95,5,-327,0.1,0.1,0
96,3,-251,0.1,0.08,0
97,6,518,0.1,0.05,0
98,9,393,0.1,0.1,1000
99,1,2977,0.1,0.15,0
100,7,1090,0.1,0.15,6000
101,9,-589,0.1,0.2,3000
102,2,-1407,0.1,0.22,3000
103,9,-671,0.1,0.22,3000
104,1,28192,0.1,0.25,2000
105,1,59390,0.1,0.38,16000
106,7,4610,0.1,0.41,24000
107,1,57559,0.1,0.42,5000
108,4,16703,0.1,0.46,28000
109,3,3071,0.1,0.39,5000
110,9,-2612,0.1,0.52,8000
111,2,71976,0.1,0.59,5000
112,7,10050,0.1,0.41,39000
113,6,-3015,0.1,0.43,4000
114,1,53243,0.1,0.39,4000
115,3,12352,0.1,0.36,29000
116,4,-1612,0.1,0.26,6000
117,7,-531,0.1,0.15,3000
118,7,37,0.1,0.11,2000
119,4,-285,0.1,0.1,1000
120,7,347,0.1,0.08,1000
121,6,473,0.1,0.05,0
122,4,-223,0.1,0.1,0
123,9,87,0.1,0.15,0
124,9,-51,0.1,0.15,1000
125,4,-1132,0.1,0.2,1000
126,10,-534,0.1,0.22,2000
127,2,-1644,0.1,0.22,2000
128,8,-1165,0.1,0.25,3000
129,7,-2506,0.1,0.38,2000
130,1,57273,0.1,0.41,4000
131,5,8119,0.1,0.42,30000
132,4,-3481,0.1,0.46,4000
133,4,-3065,0.1,0.39,4000
134,3,37070,0.1,0.52,2000
135,9,1532,0.1,0.59,17000
136,4,-3127,0.1,0.41,7000
137,5,-3114,0.1,0.43,6000
138,4,-2955,0.1,0.39,5000
139,8,-2135,0.1,0.36,4000
140,9,-1153,0.1,0.26,5000
141,10,53,0.1,0.15,2000
142,9,387,0.1,0.11,1000
143,5,-101,0.1,0.1,2000
144,9,580,0.1,0.08,0
145,6,450,0.1,0.05,0
146,4,-372,0.1,0.1,1000
147,1,7762,0.1,0.15,1000
148,5,460,0.1,0.15,4000
149,9,-575,0.1,0.2,1000
150,9,-641,0.1,0.22,2000
151,2,-1746,0.1,0.22,1000
152,7,-1013,0.1,0.25,4000
153,3,-1020,0.1,0.38,2000
154,4,-1781,0.1,0.41,8000
155,10,-2619,0.1,0.42,6000
156,8,-3104,0.1,0.46,4000
157,6,-2778,0.1,0.39,4000
158,3,46933,0.1,0.52,4000
159,1,90605,0.1,0.59,20000
160,3,34463,0.1,0.41,40000
161,8,-899,0.1,0.43,11000
162,8,-2279,0.1,0.39,3000
163,2,35135,0.1,0.36,6000
164,7,1631,0.1,0.26,14000
165,8,-143,0.1,0.15,3000
166,2,-679,0.1,0.11,2000
167,10,575,0.1,0.1,1000
168,9,653,0.1,0.08,1000
169,6,457,0.1,0.05,0
170,4,-323,0.1,0.1,0
171,3,-858,0.1,0.15,1000
172,4,-723,0.1,0.15,0
173,5,-1170,0.1,0.2,2000
174,5,-1328,0.1,0.22,2000
175,9,-687,0.1,0.22,1000
176,6,-1348,0.1,0.25,2000
177,4,-2816,0.1,0.38,2000
178,1,59834,0.1,0.41,3000
179,7,5241,0.1,0.42,23000
180,4,-2540,0.1,0.46,3000
181,6,-2662,0.1,0.39,9000
182,9,-3295,0.1,0.52,3000
183,9,-3988,0.1,0.59,6000
184,10,-2238,0.1,0.41,6000
185,7,-3083,0.1,0.43,4000
186,8,-2447,0.1,0.39,5000
187,10,-1784,0.1,0.36,3000
188,2,-1927,0.1,0.26,3000
189,3,-1047,0.1,0.15,3000
190,1,-787,0.1,0.11,1000
191,8,173,0.1,0.1,1000
192,7,306,0.1,0.08,2000
193,6,450,0.1,0.05,0
194,1,-753,0.1,0.1,1000
195,1,3582,0.1,0.15,2000
196,2,1583,0.1,0.15,6000
197,8,-697,0.1,0.2,0
198,6,-1107,0.1,0.22,2000
199,1,21930,0.1,0.22,2000
200,6,2708,0.1,0.25,14000
201,7,-2554,0.1,0.38,3000
202,5,-2977,0.1,0.41,3000
203,5,-3241,0.1,0.42,4000
204,10,-2716,0.1,0.46,4000
205,4,-2943,0.1,0.39,4000
206,8,-3589,0.1,0.52,4000
207,5,-3930,0.1,0.59,6000
208,6,-2182,0.1,0.41,8000
209,1,56785,0.1,0.43,4000
210,4,11485,0.1,0.39,29000
211,1,49490,0.1,0.36,3000
212,1,40750,0.1,0.26,25000
213,10,3926,0.1,0.15,20000
214,4,-334,0.1,0.11,1000
215,9,443,0.1,0.1,1000
216,4,-126,0.1,0.08,1000
217,6,458,0.1,0.05,0
218,1,-788,0.1,0.1,1000
219,9,-97,0.1,0.15,2000
220,7,-269,0.1,0.15,1000
221,9,-480,0.1,0.2,1000
222,1,23697,0.1,0.22,3000
223,9,1768,0.1,0.22,8000
224,10,-762,0.1,0.25,2000
225,1,53972,0.1,0.38,3000
226,8,4553,0.1,0.41,23000
227,7,-2830,0.1,0.42,4000
228,6,-3275,0.1,0.46,5000
229,7,-2469,0.1,0.39,4000
230,6,-3759,0.1,0.52,3000
231,9,-4145,0.1,0.59,4000
232,5,-3034,0.1,0.41,6000
233,4,-2842,0.1,0.43,5000
234,4,-3144,0.1,0.39,5000
235,3,-2513,0.1,0.36,3000
236,1,31781,0.1,0.26,4000
237,2,7927,0.1,0.15,16000
238,8,128,0.1,0.11,1000
239,8,286,0.1,0.1,1000
240,8,496,0.1,0.08,1000
241,6,527,0.1,0.05,0
242,10,604,0.1,0.1,0
243,7,-297,0.1,0.15,1000
244,8,-86,0.1,0.15,2000
245,8,-701,0.1,0.2,1000
246,8,-890,0.1,0.22,2000
247,10,-533,0.1,0.22,2000
248,3,-1736,0.1,0.25,2000
249,5,-2662,0.1,0.38,2000
250,4,-3081,0.1,0.41,2000
251,10,-2522,0.1,0.42,5000
252,2,53763,0.1,0.46,3000
253,10,6200,0.1,0.39,30000
254,7,-3567,0.1,0.52,3000
255,9,-4000,0.1,0.59,5000
256,2,39044,0.1,0.41,6000
257,9,3174,0.1,0.43,18000
258,4,-2882,0.1,0.39,5000
259,3,-2801,0.1,0.36,4000
260,5,-1781,0.1,0.26,5000
261,2,-1139,0.1,0.15,2000
262,10,342,0.1,0.11,2000
263,9,460,0.1,0.1,1000
264,1,-633,0.1,0.08,1000
265,6,446,0.1,0.05,0
266,4,-364,0.1,0.1,1000
267,3,-850,0.1,0.15,1000
268,8,-264,0.1,0.15,2000
269,2,-1459,0.1,0.2,2000
270,7,-1129,0.1,0.22,3000
271,6,-1081,0.1,0.22,2000
272,1,25553,0.1,0.25,2000
273,4,4398,0.1,0.38,16000
274,8,-2733,0.1,0.41,6000
275,9,-2494,0.1,0.42,3000
276,9,-3049,0.1,0.46,6000
277,5,-2709,0.1,0.39,5000
278,3,46010,0.1,0.52,4000
279,7,7905,0.1,0.59,25000
280,2,47706,0.1,0.41,5000
281,8,4985,0.1,0.43,23000
282,6,-2645,0.1,0.39,3000
283,7,-2324,0.1,0.36,5000
284,8,-1167,0.1,0.26,2000
285,7,-420,0.1,0.15,4000
286,4,-354,0.1,0.11,2000
287,2,-551,0.1,0.1,2000
288,7,260,0.1,0.08,0
289,6,522,0.1,0.05,0
290,3,-441,0.1,0.1,1000
291,8,-255,0.1,0.15,1000
292,10,126,0.1,0.15,0
293,1,22939,0.1,0.2,1000
294,4,1621,0.1,0.22,9000
295,3,-1587,0.1,0.22,3000
296,9,-1026,0.1,0.25,2000
297,8,-2177,0.1,0.38,1000
298,3,2347,0.1,0.41,3000
299,2,55942,0.1,0.42,10000
300,9,5566,0.1,0.46,21000
301,3,1611,0.1,0.39,6000
302,8,-2959,0.1,0.52,6000
303,1,85281,0.1,0.59,5000
304,4,12034,0.1,0.41,40000
305,8,-2831,0.1,0.43,4000
306,8,-2432,0.1,0.39,4000
307,10,-1833,0.1,0.36,4000
308,10,-907,0.1,0.26,3000
309,4,-810,0.1,0.15,4000
310,4,-469,0.1,0.11,2000
311,6,-57,0.1,0.1,1000
312,10,653,0.1,0.08,1000
313,6,424,0.1,0.05,0
314,9,531,0.1,0.1,0
315,8,-127,0.1,0.15,1000
316,9,-10,0.1,0.15,2000
